Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013273_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	30.607518897089633	41.0	260.0788262211491	301	9.090909090909092	0.940569
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	32.33174195060326	41.0	232.53411689785403	274	9.090909090909092	0.972011
SRR27013274_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	28.036884671687687	41.0	234.5145636211936	274	9.090909090909092	0.972011
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	33.938021872689916	41.0	231.2766894833442	264	9.090909090909092	1.053177
SRR27013275_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	31.442751386238967	41.0	232.40824476797349	274	9.090909090909092	1.053177
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.409345425621353	41.0	243.03010237612517	294	9.090909090909092	0.716671
SRR27013276_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.310366499808808	41.0	244.0897524805664	301	9.090909090909092	0.716671
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	22.926030087706295	40.0	278.3650297710881	301	9.090909090909092	0.502333
SRR27013277_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	18.839264053969302	40.0	279.26372545701753	301	9.090909090909092	0.502333
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.095911581377436	41.0	262.673220883413	301	9.090909090909092	0.66311
SRR27013278_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.581540200994198	41.0	263.98617725565896	301	9.090909090909092	0.66311
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.42475604155443	41.0	277.01223119718964	301	9.090909090909092	0.5696089999999999
SRR27013279_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	20.886976208345402	41.0	278.12062748306295	301	9.090909090909092	0.5696089999999999
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	30.275329061411213	41.0	265.1161725798316	301	9.090909090909092	0.7117169999999999
SRR27013280_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.880624832755018	41.0	266.1660133170909	301	9.090909090909092	0.7117169999999999
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	19.859316267433343	40.0	283.35450456087347	301	9.090909090909092	0.44750199999999996
SRR27013281_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	17.084792680355278	40.0	284.97226939767864	301	9.090909090909092	0.44750199999999996
SRR27013282_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.30655139821195	41.0	264.76007098899566	301	9.090909090909092	0.6741889999999999
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	34.21543874767302	41.0	236.5500950999576	274	9.090909090909092	1.023134
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	31.474532602932086	41.0	237.77535933709564	284	9.090909090909092	1.023134
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	34.55908247458072	41.0	239.24195423052294	284	9.090909090909092	1.038465
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	30.822581951173746	41.0	240.92578228442943	294	9.090909090909092	1.038465
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	32.62906189538664	41.0	236.9323396357855	274	9.090909090909092	0.935932
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	28.66629419529582	41.0	238.74258813674498	284	9.090909090909092	0.935932
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	32.00412684535671	41.0	249.05069479093189	294	9.090909090909092	0.871845
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	27.537763122937932	41.0	250.5032178885008	301	9.090909090909092	0.871845
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	24.885923813907155	40.0	270.97403934301974	301	9.090909090909092	0.5857709999999999
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	21.059335374947906	40.0	271.9350070249295	301	9.090909090909092	0.5857709999999999
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.46709166225503	40.0	272.7964922826751	301	9.090909090909092	0.519027
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	19.460773205242788	41.0	273.766469759762	301	9.090909090909092	0.519027
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	29.36053068931612	41.0	265.8901619280323	301	9.090909090909092	0.680611
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	24.136684288962144	41.0	267.06846421818045	301	9.090909090909092	0.680611
SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	26.98560529358602	41.0	245.62796898645402	294	9.090909090909092	0.8134509999999999
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	32.39242080286705	41.0	230.30782340432498	274	9.090909090909092	1.007771
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	29.15170649638567	41.0	231.75351543158118	274	9.090909090909092	1.007771
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	21.863089511334962	40.0	284.07231197543314	301	9.090909090909092	0.439291
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	17.922589705382492	41.0	286.27904737406413	301	9.090909090909092	0.439291
SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	33.349128534607146	41.0	243.55564104364575	284	9.090909090909092	0.9968899999999999
SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	27.093864326553557	41.0	239.27940318552234	294	9.090909090909092	0.9873419999999999
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	26.554834407078758	41.0	236.79799873678817	284	9.090909090909092	0.679221
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	23.729551432579	41.0	238.06626929968303	294	9.090909090909092	0.679221
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.85020039527427	41.0	241.76328974388278	294	9.090909090909092	0.542486
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	20.7436866897293	41.0	243.11339923979605	294	9.090909090909092	0.542486
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.592668616122552	41.0	226.66977827166411	264	9.090909090909092	0.826101
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	24.802618162980778	41.0	231.4302433963886	284	9.090909090909092	0.826101
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	25.269358189962375	41.0	222.57007101276614	244	9.090909090909092	0.7671859999999999
