Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR27013247_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	18.03591553978744	40.0	286.6646738155866	301	9.090909090909092	0.418245
SRR27013248_1	27.942885946461175	41.0	269.40144719115983	301	9.090909090909092	0.604965
SRR27013248_2	25.48254286450674	41.0	269.389483689139	301	9.090909090909092	0.604965
SRR27013249_1	23.761679753591082	40.0	272.21725671005845	301	9.090909090909092	0.540271
SRR27013249_2	20.986127387040526	40.0	272.2240782866376	301	9.090909090909092	0.540271
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.761679753591082	40.0	272.21725671005845	301	9.090909090909092	0.540271
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	20.986127387040526	40.0	272.2240782866376	301	9.090909090909092	0.540271
SRR27013250_1	28.072181705420135	40.0	273.1603972773596	301	9.090909090909092	0.694326
SRR27013250_2	25.684536005720574	40.0	273.14433709813545	301	9.090909090909092	0.694326
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.072181705420135	40.0	273.1603972773596	301	9.090909090909092	0.694326
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.684536005720574	40.0	273.14433709813545	301	9.090909090909092	0.694326
SRR27013251_1	30.578090867831946	42.0	285.3518701291914	301	18.181818181818183	0.497479
SRR27013251_2	27.417958875515396	42.0	285.3951885406218	301	18.181818181818183	0.497479
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	30.578090867831946	42.0	285.3518701291914	301	18.181818181818183	0.497479
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	27.417958875515396	42.0	285.3951885406218	301	18.181818181818183	0.497479
SRR27013252_1	28.153606467176445	41.0	272.62635076305094	301	9.090909090909092	0.561627
SRR27013252_2	25.42218013159369	41.0	272.6162043491499	301	9.090909090909092	0.561627
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	28.153606467176445	41.0	272.62635076305094	301	9.090909090909092	0.561627
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	25.42218013159369	41.0	272.6162043491499	301	9.090909090909092	0.561627
SRR27013253_1	22.604697194184126	40.0	285.9914119512229	301	9.090909090909092	0.5052369999999999
SRR27013253_2	19.459268837727734	40.0	286.01487618681927	301	9.090909090909092	0.5052369999999999
SRR27013254_1	25.345195832342654	40.0	271.6144150281451	301	9.090909090909092	0.5974389999999999
SRR27013254_2	22.770008281729062	41.0	271.62466209939424	301	9.090909090909092	0.5974389999999999
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	25.345195832342654	40.0	271.6144150281451	301	9.090909090909092	0.5974389999999999
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	22.770008281729062	41.0	271.62466209939424	301	9.090909090909092	0.5974389999999999
SRR27013255_1	23.339786356551826	40.0	244.89358418609893	294	9.090909090909092	0.567956
SRR27013255_2	19.960042213582597	41.0	245.14387646226115	301	9.090909090909092	0.567956
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	23.339786356551826	40.0	244.89358418609893	294	9.090909090909092	0.567956
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	19.960042213582597	41.0	245.14387646226115	301	9.090909090909092	0.567956
SRR27013256_1	24.460570344411096	40.0	268.6925524707679	301	9.090909090909092	0.591901
SRR27013256_2	21.96318941449877	40.0	268.7477889038876	301	9.090909090909092	0.591901
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	5.870220010476686	40.0	268.1808702200105	301	9.090909090909092	0.09163199999999999
