Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
SRR27013287_1	(30.0, 585572.0)																					
SRR27013287_2	(30.0, 585572.0)																					
SRR27013288_1	(30.0, 518905.0)																					
SRR27013288_2	(30.0, 518905.0)																					
SRR27013289_1	(30.0, 680344.0)																					
SRR27013289_2	(30.0, 680344.0)																					
SRR27013290_1	(30.0, 812398.0)																					
SRR27013290_2	(30.0, 812398.0)																					
SRR27013291_1	(30.0, 1005688.0)																					
SRR27013291_2	(30.0, 1005688.0)																					
SRR27013292_1	(30.0, 439029.0)																					
SRR27013292_2	(30.0, 439029.0)																					
SRR27013293_1	(30.0, 995709.0)																					
SRR27013293_2	(30.0, 995709.0)																					
SRR27013294_1	(30.0, 985738.0)																					
SRR27013294_2	(30.0, 985738.0)																					
SRR27013295_1	(30.0, 677519.0)																					
SRR27013295_2	(30.0, 677519.0)																					
SRR27013296_1	(30.0, 541338.0)																					
SRR27013296_2	(30.0, 541338.0)																					
SRR27013297_1	(30.0, 823995.0)																					
SRR27013297_2	(30.0, 823995.0)																					
SRR27013298_1	(30.0, 765258.0)																					
SRR27013298_2	(30.0, 765258.0)																					
SRR27013299_1	(30.0, 810971.0)																					
SRR27013299_2	(30.0, 810971.0)																					
SRR27013300_1	(30.0, 683908.0)																					
SRR27013300_2	(30.0, 683908.0)																					
SRR27013301_1	(30.0, 743367.0)																					
SRR27013301_2	(30.0, 743367.0)																					
SRR27013302_1	(30.0, 782326.0)																					
SRR27013302_2	(30.0, 782326.0)																					
SRR27013303_1	(30.0, 767602.0)																					
SRR27013303_2	(30.0, 767602.0)																					
SRR27013304_1	(30.0, 976911.0)																					
SRR27013304_2	(30.0, 976911.0)																					
SRR27013305_1	(30.0, 496761.0)																					
SRR27013305_2	(30.0, 496761.0)																					
SRR27013306_1	(30.0, 722530.0)																					
SRR27013306_2	(30.0, 722530.0)																					
SRR27013307_1	(30.0, 557962.0)																					
SRR27013307_2	(30.0, 557962.0)																					
SRR27013308_1	(30.0, 633881.0)																					
SRR27013308_2	(30.0, 633881.0)																					
SRR27013309_1	(30.0, 621733.0)																					
SRR27013309_2	(30.0, 621733.0)																					
SRR27013310_1	(19.0, 1.0)	(20.0, 40.0)	(21.0, 389.0)	(22.0, 836.0)	(23.0, 1446.0)	(24.0, 2342.0)	(25.0, 3797.0)	(26.0, 5750.0)	(27.0, 8813.0)	(28.0, 12615.0)	(29.0, 17217.0)	(30.0, 23020.0)	(31.0, 30462.0)	(32.0, 39402.0)	(33.0, 50047.0)	(34.0, 64419.0)	(35.0, 82674.0)	(36.0, 107244.0)	(37.0, 143602.0)			
SRR27013310_2	(19.0, 22.0)	(20.0, 1574.0)	(21.0, 7593.0)	(22.0, 11168.0)	(23.0, 13956.0)	(24.0, 17072.0)	(25.0, 20400.0)	(26.0, 24143.0)	(27.0, 28364.0)	(28.0, 33753.0)	(29.0, 38858.0)	(30.0, 43598.0)	(31.0, 47124.0)	(32.0, 48714.0)	(33.0, 47643.0)	(34.0, 45964.0)	(35.0, 47836.0)	(36.0, 55399.0)	(37.0, 60935.0)			
SRR27013311_1	(30.0, 633195.0)																					
SRR27013311_2	(30.0, 633195.0)																					
SRR27013312_1	(19.0, 5.0)	(20.0, 45.0)	(21.0, 304.0)	(22.0, 624.0)	(23.0, 1140.0)	(24.0, 1862.0)	(25.0, 2961.0)	(26.0, 4604.0)	(27.0, 6928.0)	(28.0, 9787.0)	(29.0, 13249.0)	(30.0, 17442.0)	(31.0, 22736.0)	(32.0, 29431.0)	(33.0, 37981.0)	(34.0, 50842.0)	(35.0, 70188.0)	(36.0, 101551.0)	(37.0, 153867.0)			
SRR27013312_2	(19.0, 26.0)	(20.0, 1135.0)	(21.0, 4169.0)	(22.0, 5577.0)	(23.0, 6768.0)	(24.0, 8025.0)	(25.0, 9939.0)	(26.0, 12013.0)	(27.0, 14718.0)	(28.0, 17672.0)	(29.0, 21486.0)	(30.0, 26309.0)	(31.0, 32400.0)	(32.0, 39807.0)	(33.0, 48536.0)	(34.0, 58480.0)	(35.0, 63827.0)	(36.0, 66381.0)	(37.0, 88279.0)			
SRR27013313_1	(18.0, 2.0)	(19.0, 4.0)	(20.0, 54.0)	(21.0, 286.0)	(22.0, 654.0)	(23.0, 1157.0)	(24.0, 1927.0)	(25.0, 3115.0)	(26.0, 4901.0)	(27.0, 7328.0)	(28.0, 10420.0)	(29.0, 14016.0)	(30.0, 18845.0)	(31.0, 24788.0)	(32.0, 32236.0)	(33.0, 41843.0)	(34.0, 56152.0)	(35.0, 79715.0)	(36.0, 118704.0)	(37.0, 185020.0)		
