.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR27013253_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013254_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013254_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013255_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013255_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013256_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013256_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013257_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013257_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013258_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013258_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013259_1	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR27013259_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013260_1	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR27013260_2	1	1	1	1	0.25	0.5	1	0.5	1	1	1
