Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR27013250_1	(1.0, 55.59103689115044)	(2.0, 21.243115570263807)	(3.0, 9.808981884078845)	(4.0, 5.003147704513674)	(5.0, 2.701029906876603)	(6.0, 1.5726858683761218)	(7.0, 0.9959805787483041)	(8.0, 0.6086454930592887)	(9.0, 0.4092427671808965)	('>10', 1.9610959481403227)	('>50', 0.10503738761175481)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013250_2	(1.0, 59.0771745247212)	(2.0, 20.104091090167646)	(3.0, 9.139293349641425)	(4.0, 4.361013998477508)	(5.0, 2.3445551919061036)	(6.0, 1.401677341596725)	(7.0, 0.8201186141501341)	(8.0, 0.6239623463727904)	(9.0, 0.38935121953979446)	('>10', 1.6728308343120932)	('>50', 0.06593148911457694)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 55.59103689115044)	(2.0, 21.243115570263807)	(3.0, 9.808981884078845)	(4.0, 5.003147704513674)	(5.0, 2.701029906876603)	(6.0, 1.5726858683761218)	(7.0, 0.9959805787483041)	(8.0, 0.6086454930592887)	(9.0, 0.4092427671808965)	('>10', 1.9610959481403227)	('>50', 0.10503738761175481)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 59.0771745247212)	(2.0, 20.104091090167646)	(3.0, 9.139293349641425)	(4.0, 4.361013998477508)	(5.0, 2.3445551919061036)	(6.0, 1.401677341596725)	(7.0, 0.8201186141501341)	(8.0, 0.6239623463727904)	(9.0, 0.38935121953979446)	('>10', 1.6728308343120932)	('>50', 0.06593148911457694)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013251_1	(1.0, 58.28475258328495)	(2.0, 15.482790044717621)	(3.0, 5.492095611920488)	(4.0, 2.3896315244098765)	(5.0, 1.2797687526534587)	(6.0, 0.7531464078432083)	(7.0, 0.5623851388172554)	(8.0, 0.4786883665713596)	(9.0, 0.3353986742106857)	('>10', 7.020239937699717)	('>50', 3.1757213498805927)	('>100', 4.618883683282095)	('>500', 0.12649792470868804)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013251_2	(1.0, 62.725488817583454)	(2.0, 13.774399847171109)	(3.0, 4.797336141738784)	(4.0, 2.064498475874178)	(5.0, 1.0877693092420413)	(6.0, 0.6746242664163535)	(7.0, 0.48177852527359)	(8.0, 0.3990839737520621)	(9.0, 0.2861037600330744)	('>10', 6.449324637453252)	('>50', 3.001181202016503)	('>100', 4.148999263932343)	('>500', 0.10941177951326748)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 58.28475258328495)	(2.0, 15.482790044717621)	(3.0, 5.492095611920488)	(4.0, 2.3896315244098765)	(5.0, 1.2797687526534587)	(6.0, 0.7531464078432083)	(7.0, 0.5623851388172554)	(8.0, 0.4786883665713596)	(9.0, 0.3353986742106857)	('>10', 7.020239937699717)	('>50', 3.1757213498805927)	('>100', 4.618883683282095)	('>500', 0.12649792470868804)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 62.725488817583454)	(2.0, 13.774399847171109)	(3.0, 4.797336141738784)	(4.0, 2.064498475874178)	(5.0, 1.0877693092420413)	(6.0, 0.6746242664163535)	(7.0, 0.48177852527359)	(8.0, 0.3990839737520621)	(9.0, 0.2861037600330744)	('>10', 6.449324637453252)	('>50', 3.001181202016503)	('>100', 4.148999263932343)	('>500', 0.10941177951326748)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013252_1	(1.0, 56.60037926317081)	(2.0, 19.986881663007278)	(3.0, 8.76612082091671)	(4.0, 4.415050885296827)	(5.0, 2.4418129590588955)	(6.0, 1.482191382673952)	(7.0, 0.9838765605419109)	(8.0, 0.629639021738769)	(9.0, 0.48212047977138694)	('>10', 3.6096295651257186)	('>50', 0.4920776858309632)	('>100', 0.11021971286676198)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013252_2	(1.0, 60.5427842469495)	(2.0, 18.63815968934344)	(3.0, 7.970771236239195)	(4.0, 3.943696239548436)	(5.0, 2.236261002526398)	(6.0, 1.1787983081126001)	(7.0, 0.8329606497434625)	(8.0, 0.5540826744063666)	(9.0, 0.40829825218740984)	('>10', 3.2149694056190885)	('>50', 0.41052974649561197)	('>100', 0.06868854882848123)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 56.60037926317081)	(2.0, 19.986881663007278)	(3.0, 8.76612082091671)	(4.0, 4.415050885296827)	(5.0, 2.4418129590588955)	(6.0, 1.482191382673952)	(7.0, 0.9838765605419109)	(8.0, 0.629639021738769)	(9.0, 0.48212047977138694)	('>10', 3.6096295651257186)	('>50', 0.4920776858309632)	('>100', 0.11021971286676198)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013252_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 60.5427842469495)	(2.0, 18.63815968934344)	(3.0, 7.970771236239195)	(4.0, 3.943696239548436)	(5.0, 2.236261002526398)	(6.0, 1.1787983081126001)	(7.0, 0.8329606497434625)	(8.0, 0.5540826744063666)	(9.0, 0.40829825218740984)	('>10', 3.2149694056190885)	('>50', 0.41052974649561197)	('>100', 0.06868854882848123)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013253_1	(1.0, 62.85674235646152)	(2.0, 20.360095444952087)	(3.0, 8.125592643632825)	(4.0, 3.6671055614941834)	(5.0, 1.7396464746392746)	(6.0, 0.9806579401871481)	(7.0, 0.5568793598189846)	(8.0, 0.32840449719801984)	(9.0, 0.2275058251701245)	('>10', 1.1209748487631188)	('>50', 0.03639504768270644)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013253_2	(1.0, 67.68721727687897)	(2.0, 18.315849576102313)	(3.0, 7.101540260041507)	(4.0, 2.9465209104258667)	(5.0, 1.4842368025992243)	(6.0, 0.7472053130258376)	(7.0, 0.4280419809840819)	(8.0, 0.2572076751713296)	(9.0, 0.16167878813071493)	('>10', 0.8576516131364189)	('>50', 0.012849803503714842)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013254_1	(1.0, 59.05723970643526)	(2.0, 21.08483760122407)	(3.0, 9.079289674073177)	(4.0, 4.315268574126925)	(5.0, 2.3162252147044406)	(6.0, 1.2120657282390175)	(7.0, 0.6891457146364773)	(8.0, 0.44059931285250375)	(9.0, 0.29117432643427477)	('>10', 1.4665960859197107)	('>50', 0.04755806135420562)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013254_2	(1.0, 62.856415376391354)	(2.0, 19.795471479841183)	(3.0, 8.203445460992551)	(4.0, 3.798318417816779)	(5.0, 1.948754586266176)	(6.0, 1.0420773195402329)	(7.0, 0.5515393285454729)	(8.0, 0.3462364565196384)	(9.0, 0.23418033968134774)	('>10', 1.1966118684357172)	('>50', 0.02694936596953138)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 59.05723970643526)	(2.0, 21.08483760122407)	(3.0, 9.079289674073177)	(4.0, 4.315268574126925)	(5.0, 2.3162252147044406)	(6.0, 1.2120657282390175)	(7.0, 0.6891457146364773)	(8.0, 0.44059931285250375)	(9.0, 0.29117432643427477)	('>10', 1.4665960859197107)	('>50', 0.04755806135420562)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013254_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 62.856415376391354)	(2.0, 19.795471479841183)	(3.0, 8.203445460992551)	(4.0, 3.798318417816779)	(5.0, 1.948754586266176)	(6.0, 1.0420773195402329)	(7.0, 0.5515393285454729)	(8.0, 0.3462364565196384)	(9.0, 0.23418033968134774)	('>10', 1.1966118684357172)	('>50', 0.02694936596953138)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013255_1	(1.0, 62.5272175171199)	(2.0, 19.368707652814237)	(3.0, 8.01262758178685)	(4.0, 3.6358296022081835)	(5.0, 1.9158401440879849)	(6.0, 1.0867120625732596)	(7.0, 0.6664708555047466)	(8.0, 0.4063104693805406)	(9.0, 0.3188109215977188)	('>10', 1.9407553290972817)	('>50', 0.12071786382929472)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013255_2	(1.0, 67.55095770283612)	(2.0, 17.553118969136815)	(3.0, 6.796293941194833)	(4.0, 3.057789515428942)	(5.0, 1.4824410940377686)	(6.0, 0.9120752571565924)	(7.0, 0.4881701983395631)	(8.0, 0.3466072934689597)	(9.0, 0.251522573708827)	('>10', 1.5181508321837278)	('>50', 0.042872622507881604)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 62.5272175171199)	(2.0, 19.368707652814237)	(3.0, 8.01262758178685)	(4.0, 3.6358296022081835)	(5.0, 1.9158401440879849)	(6.0, 1.0867120625732596)	(7.0, 0.6664708555047466)	(8.0, 0.4063104693805406)	(9.0, 0.3188109215977188)	('>10', 1.9407553290972817)	('>50', 0.12071786382929472)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013255_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 67.55095770283612)	(2.0, 17.553118969136815)	(3.0, 6.796293941194833)	(4.0, 3.057789515428942)	(5.0, 1.4824410940377686)	(6.0, 0.9120752571565924)	(7.0, 0.4881701983395631)	(8.0, 0.3466072934689597)	(9.0, 0.251522573708827)	('>10', 1.5181508321837278)	('>50', 0.042872622507881604)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013256_1	(1.0, 60.19367227926603)	(2.0, 21.03280074526241)	(3.0, 8.749901266046916)	(4.0, 4.218994725012322)	(5.0, 2.0921132685529953)	(6.0, 1.0579233525526988)	(7.0, 0.6586397061583564)	(8.0, 0.433102688709829)	(9.0, 0.25477256315901586)	('>10', 1.2994727859978243)	('>50', 0.008606619281573101)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013256_2	(1.0, 63.9504000757259)	(2.0, 19.57909445236413)	(3.0, 8.028061810742791)	(4.0, 3.53859577331253)	(5.0, 1.8930843397676276)	(6.0, 0.8730470087732249)	(7.0, 0.539093678046173)	(8.0, 0.3161445152905371)	(9.0, 0.22843345154000197)	('>10', 1.0452621662539485)	('>50', 0.008782728183073359)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(1.0, 89.14898725336127)	(2.0, 8.693469530295094)	(3.0, 1.4732844421162912)	(4.0, 0.3666841278156103)	(5.0, 0.11458878994237821)	(6.0, 0.0785751702462022)	(7.0, 0.045835515976951284)	(8.0, 0.04365287235900122)	(9.0, 0.0)	('>10', 0.03492229788720098)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013256_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(1.0, 90.24140038414528)	(2.0, 7.933909551248472)	(3.0, 1.1949973808276586)	(4.0, 0.3273965426925092)	(5.0, 0.1636982713462546)	(6.0, 0.03273965426925092)	(7.0, 0.030557010651300856)	(8.0, 0.05238344683080147)	(9.0, 0.0)	('>10', 0.022917757988475642)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013257_1	(1.0, 63.89300049399641)	(2.0, 20.38081025228848)	(3.0, 7.8055380555477685)	(4.0, 3.391052579562412)	(5.0, 1.6315736090849273)	(6.0, 0.8450987013989324)	(7.0, 0.5070602219325329)	(8.0, 0.3594195046650251)	(9.0, 0.2170042656779224)	('>10', 0.969442315845587)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013257_2	(1.0, 70.73410896434724)	(2.0, 17.320334908731137)	(3.0, 6.247548883648973)	(4.0, 2.571573534242687)	(5.0, 1.1817092553838962)	(6.0, 0.5811526343381652)	(7.0, 0.3499202231713737)	(8.0, 0.21829879659089163)	(9.0, 0.14961077961797076)	('>10', 0.6457420199276537)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013258_1	(1.0, 63.17957390765198)	(2.0, 20.102832505033717)	(3.0, 8.11090825056342)	(4.0, 3.6228011885846545)	(5.0, 1.7955260032272171)	(6.0, 0.9021568839842551)	(7.0, 0.5356575506639282)	(8.0, 0.372011917787677)	(9.0, 0.22442452786044087)	('>10', 1.1304803529747487)	('>50', 0.02362691166797908)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013258_2	(1.0, 68.64743417691689)	(2.0, 17.95188028447346)	(3.0, 6.791857286617729)	(4.0, 2.901804910396875)	(5.0, 1.3698406106893233)	(6.0, 0.7487806033105078)	(7.0, 0.3610479068251881)	(8.0, 0.22661352837775187)	(9.0, 0.16957928045200113)	('>10', 0.8311614119402619)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013259_1	(1.0, 64.47912152351883)	(2.0, 20.453601897537624)	(3.0, 7.69592710389386)	(4.0, 3.2349003660272233)	(5.0, 1.6209309332917092)	(6.0, 0.8240207950577753)	(7.0, 0.4919770995805299)	(8.0, 0.27978802675374226)	(9.0, 0.17879420076954378)	('>10', 0.7409380535691918)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013259_2	(1.0, 72.27785089404595)	(2.0, 16.960442894741572)	(3.0, 5.887803436608025)	(4.0, 2.385792516108997)	(5.0, 1.0047694149186137)	(6.0, 0.5269409844894519)	(7.0, 0.2815520243640754)	(8.0, 0.17171363132373696)	(9.0, 0.09703437707392291)	('>10', 0.40609982632566116)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013260_1	(1.0, 59.07633493264161)	(2.0, 20.874690806738585)	(3.0, 9.069517382329332)	(4.0, 4.291888429896145)	(5.0, 2.192968197791765)	(6.0, 1.2858624123090105)	(7.0, 0.7316762854345336)	(8.0, 0.5110096632425367)	(9.0, 0.3402134398521586)	('>10', 1.5784205428032394)	('>50', 0.04741790696113113)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR27013260_2	(1.0, 65.57456840233804)	(2.0, 18.69011197140936)	(3.0, 7.455194471326323)	(4.0, 3.4103032630532786)	(5.0, 1.6629876339438767)	(6.0, 0.9600307309686966)	(7.0, 0.5303997917109506)	(8.0, 0.33475173342961595)	(9.0, 0.19364079318352753)	('>10', 1.1701981268594692)	('>50', 0.017813081776861906)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
