Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 595.0)	(40, 1526.0)	(50, 1714.0)	(60, 1984.0)	(70, 2052.0)	(80, 2385.0)	(90, 2583.0)	(100, 2718.0)	(110, 3096.0)	(120, 3375.0)	(130, 3896.0)	(140, 4303.0)	(150, 4806.0)	(160, 5272.0)	(170, 6104.0)	(180, 6790.0)	(190, 7551.0)	(200, 8437.0)	(210, 9405.0)	(220, 10278.0)	(230, 11051.0)	(240, 11831.0)	(250, 12849.0)	(260, 13357.0)	(270, 14088.0)	(280, 14760.0)	(290, 39185.0)	(300, 334280.0)
SRR27013249_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 595.0)	(40, 1522.0)	(50, 1717.0)	(60, 1987.0)	(70, 2050.0)	(80, 2389.0)	(90, 2584.0)	(100, 2719.0)	(110, 3104.0)	(120, 3376.0)	(130, 3904.0)	(140, 4306.0)	(150, 4809.0)	(160, 5281.0)	(170, 6110.0)	(180, 6793.0)	(190, 7564.0)	(200, 8438.0)	(210, 9412.0)	(220, 10272.0)	(230, 11056.0)	(240, 11838.0)	(250, 12863.0)	(260, 13344.0)	(270, 14071.0)	(280, 14738.0)	(290, 37202.0)	(300, 336227.0)
SRR27013250_1	(30, 492.0)	(40, 1516.0)	(50, 1764.0)	(60, 1930.0)	(70, 2199.0)	(80, 2476.0)	(90, 2770.0)	(100, 3131.0)	(110, 3511.0)	(120, 4028.0)	(130, 4573.0)	(140, 5134.0)	(150, 5844.0)	(160, 6826.0)	(170, 7706.0)	(180, 8863.0)	(190, 10005.0)	(200, 11265.0)	(210, 12620.0)	(220, 13857.0)	(230, 15413.0)	(240, 16623.0)	(250, 17636.0)	(260, 18883.0)	(270, 19810.0)	(280, 20325.0)	(290, 51260.0)	(300, 423866.0)
SRR27013250_2	(30, 490.0)	(40, 1514.0)	(50, 1768.0)	(60, 1933.0)	(70, 2199.0)	(80, 2486.0)	(90, 2772.0)	(100, 3132.0)	(110, 3515.0)	(120, 4028.0)	(130, 4576.0)	(140, 5143.0)	(150, 5861.0)	(160, 6840.0)	(170, 7724.0)	(180, 8883.0)	(190, 10012.0)	(200, 11272.0)	(210, 12637.0)	(220, 13854.0)	(230, 15453.0)	(240, 16653.0)	(250, 17678.0)	(260, 18909.0)	(270, 19810.0)	(280, 20339.0)	(290, 49093.0)	(300, 425752.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 492.0)	(40, 1516.0)	(50, 1764.0)	(60, 1930.0)	(70, 2199.0)	(80, 2476.0)	(90, 2770.0)	(100, 3131.0)	(110, 3511.0)	(120, 4028.0)	(130, 4573.0)	(140, 5134.0)	(150, 5844.0)	(160, 6826.0)	(170, 7706.0)	(180, 8863.0)	(190, 10005.0)	(200, 11265.0)	(210, 12620.0)	(220, 13857.0)	(230, 15413.0)	(240, 16623.0)	(250, 17636.0)	(260, 18883.0)	(270, 19810.0)	(280, 20325.0)	(290, 51260.0)	(300, 423866.0)
SRR27013250_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 490.0)	(40, 1514.0)	(50, 1768.0)	(60, 1933.0)	(70, 2199.0)	(80, 2486.0)	(90, 2772.0)	(100, 3132.0)	(110, 3515.0)	(120, 4028.0)	(130, 4576.0)	(140, 5143.0)	(150, 5861.0)	(160, 6840.0)	(170, 7724.0)	(180, 8883.0)	(190, 10012.0)	(200, 11272.0)	(210, 12637.0)	(220, 13854.0)	(230, 15453.0)	(240, 16653.0)	(250, 17678.0)	(260, 18909.0)	(270, 19810.0)	(280, 20339.0)	(290, 49093.0)	(300, 425752.0)
SRR27013251_1	(30, 161.0)	(40, 462.0)	(50, 538.0)	(60, 622.0)	(70, 652.0)	(80, 767.0)	(90, 886.0)	(100, 1048.0)	(110, 1165.0)	(120, 1346.0)	(130, 1575.0)	(140, 1844.0)	(150, 2111.0)	(160, 2590.0)	(170, 3045.0)	(180, 3741.0)	(190, 4176.0)	(200, 4799.0)	(210, 5457.0)	(220, 6255.0)	(230, 6841.0)	(240, 7673.0)	(250, 8540.0)	(260, 9271.0)	(270, 9817.0)	(280, 10572.0)	(290, 36070.0)	(300, 365455.0)
SRR27013251_2	(30, 160.0)	(40, 460.0)	(50, 537.0)	(60, 622.0)	(70, 655.0)	(80, 763.0)	(90, 884.0)	(100, 1048.0)	(110, 1165.0)	(120, 1342.0)	(130, 1577.0)	(140, 1846.0)	(150, 2107.0)	(160, 2598.0)	(170, 3054.0)	(180, 3746.0)	(190, 4177.0)	(200, 4805.0)	(210, 5464.0)	(220, 6255.0)	(230, 6824.0)	(240, 7658.0)	(250, 8527.0)	(260, 9242.0)	(270, 9745.0)	(280, 10491.0)	(290, 33532.0)	(300, 368195.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30, 161.0)	(40, 462.0)	(50, 538.0)	(60, 622.0)	(70, 652.0)	(80, 767.0)	(90, 886.0)	(100, 1048.0)	(110, 1165.0)	(120, 1346.0)	(130, 1575.0)	(140, 1844.0)	(150, 2111.0)	(160, 2590.0)	(170, 3045.0)	(180, 3741.0)	(190, 4176.0)	(200, 4799.0)	(210, 5457.0)	(220, 6255.0)	(230, 6841.0)	(240, 7673.0)	(250, 8540.0)	(260, 9271.0)	(270, 9817.0)	(280, 10572.0)	(290, 36070.0)	(300, 365455.0)
SRR27013251_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30, 160.0)	(40, 460.0)	(50, 537.0)	(60, 622.0)	(70, 655.0)	(80, 763.0)	(90, 884.0)	(100, 1048.0)	(110, 1165.0)	(120, 1342.0)	(130, 1577.0)	(140, 1846.0)	(150, 2107.0)	(160, 2598.0)	(170, 3054.0)	(180, 3746.0)	(190, 4177.0)	(200, 4805.0)	(210, 5464.0)	(220, 6255.0)	(230, 6824.0)	(240, 7658.0)	(250, 8527.0)	(260, 9242.0)	(270, 9745.0)	(280, 10491.0)	(290, 33532.0)	(300, 368195.0)
