Sample	Unique Reads	Duplicate Reads
SRR27013303_2	588222.0	179380.0
SRR27013304_1	667158.0	309753.0
SRR27013304_2	706440.0	270471.0
SRR27013305_1	392982.0	103779.0
SRR27013305_2	398820.0	97941.0
SRR27013306_1	550398.0	172132.0
SRR27013306_2	548485.0	174045.0
SRR27013307_1	426444.0	131518.0
SRR27013307_2	448739.0	109223.0
SRR27013308_1	488475.0	145406.0
SRR27013308_2	491903.0	141978.0
SRR27013309_1	473137.0	148596.0
SRR27013309_2	481418.0	140315.0
SRR27013310_1	462812.0	131304.0
SRR27013310_2	460781.0	133335.0
SRR27013311_1	490221.0	142974.0
SRR27013311_2	495480.0	137715.0
SRR27013312_1	408475.0	117072.0
SRR27013312_2	411299.0	114248.0
SRR27013313_1	454997.0	146170.0
SRR27013313_2	459345.0	141822.0
SRR27013314_1	605481.0	212235.0
SRR27013314_2	609240.0	208476.0
SRR27013315_1	512760.0	179410.0
SRR27013315_2	525290.0	166880.0
SRR27013316_1	495653.0	156418.0
SRR27013316_2	497342.0	154729.0
SRR27013317_1	508150.0	171252.0
SRR27013317_2	522441.0	156961.0
SRR27013318_1	358290.0	96227.0
SRR27013318_2	375534.0	78983.0
SRR27013319_1	380924.0	93974.0
SRR27013319_2	383319.0	91579.0
SRR27013320_1	504677.0	167575.0
SRR27013320_2	514653.0	157599.0
SRR27013321_1	538487.0	184989.0
SRR27013321_2	539364.0	184112.0
SRR27013322_1	544728.0	206224.0
SRR27013322_2	553955.0	196997.0
SRR27013323_1	449557.0	125988.0
SRR27013323_2	458968.0	116577.0
SRR27013324_1	495092.0	161106.0
SRR27013324_2	500641.0	155557.0
SRR27013325_1	543462.0	202861.0
SRR27013325_2	553355.0	192968.0
SRR27013326_1	509841.0	157798.0
SRR27013326_2	516475.0	151164.0
SRR27013327_1	485678.0	155282.0
SRR27013327_2	503946.0	137014.0
SRR27013328_1	466408.0	157971.0
SRR27013328_2	478564.0	145815.0
SRR27013329_1	578825.0	230365.0
SRR27013329_2	604601.0	204589.0
SRR27013330_1	594597.0	259419.0
SRR27013330_2	633527.0	220489.0
SRR27013331_1	621727.0	265845.0
SRR27013331_2	666646.0	220926.0
SRR27013332_1	585578.0	238328.0
SRR27013332_2	628103.0	195803.0
SRR27013333_1	612893.0	285463.0
SRR27013333_2	663183.0	235173.0
SRR27013334_1	708016.0	361581.0
SRR27013334_2	759358.0	310239.0
SRR27013335_1	593462.0	243576.0
SRR27013335_2	629501.0	207537.0
SRR27013336_1	561563.0	235473.0
SRR27013336_2	602007.0	195029.0
SRR27013337_1	458179.0	201419.0
SRR27013337_2	496552.0	163046.0
SRR27013338_1	447954.0	198768.0
SRR27013338_2	467983.0	178739.0
SRR27013339_1	514108.0	192286.0
SRR27013339_2	552218.0	154176.0
SRR27013340_1	450508.0	151181.0
SRR27013340_2	470926.0	130763.0
SRR27013341_1	708310.0	388566.0
SRR27013341_2	740924.0	355952.0
SRR27013342_1	597164.0	271822.0
SRR27013342_2	626702.0	242284.0
SRR27013343_1	617264.0	419834.0
SRR27013343_2	651830.0	385268.0
