"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02928",5.74193217368111,4.52915132981665,1.80697306962207,2.5064852409582,0.01219381482972,0.977876286156224
"SAOUHSC_02949",42.0735682234448,-2.14231980896232,0.867606987377276,-2.46922839503451,0.013540476485071,0.977876286156224
"SAOUHSC_00001",182.966366855041,0.456116622606746,0.642212757071385,0.710226661779075,0.477563589858969,0.999717718053886
"SAOUHSC_00002",185.303125879472,-0.0396011801107599,0.612971297862402,-0.0646052763789431,0.948488283546184,0.999717718053886
"SAOUHSC_00003",59.9580786558556,0.278212052970019,0.690333645034723,0.403011000508349,0.68694013194513,0.999717718053886
"SAOUHSC_00004",1492.43277293856,0.119178243039675,0.600295681994849,0.198532567556762,0.842628406608936,0.999717718053886
"SAOUHSC_00005",2361.61267628221,0.148376190300777,0.491227789639365,0.30205170275425,0.76261264939171,0.999717718053886
"SAOUHSC_00006",3030.15876448707,0.0790283586665245,0.527642238350528,0.149776407047276,0.880941023813079,0.999717718053886
"SAOUHSC_00007",50.9489747291201,-1.18594206633015,0.644497519124594,-1.8401033846352,0.0657530604888483,0.999717718053886
"SAOUHSC_00008",140.799696778179,-0.595719171025477,0.736109128601941,-0.809281053417854,0.418353501818083,0.999717718053886
"SAOUHSC_00009",509.090031237429,-0.239170095955266,0.762587765975707,-0.313629599931039,0.753802375548084,0.999717718053886
"SAOUHSC_00010",49.3840780904559,2.23129820566396,0.920168221138458,2.42488074941703,0.0153134159891086,0.999717718053886
"SAOUHSC_00013",72.1266166625087,0.971089149251327,0.772897128581284,1.25642742525624,0.208961043456834,0.999717718053886
"SAOUHSC_00014",104.920705644134,-0.0396548172242414,0.542285794052713,-0.0731253107847163,0.941706400479644,0.999717718053886
"SAOUHSC_00015",591.173565573682,-0.253976541390027,0.487122293696374,-0.521381477868332,0.602101051777439,0.999717718053886
"SAOUHSC_00017",136.07738231365,-0.619940654303847,0.621223899142899,-0.997934327959978,0.318311204671783,0.999717718053886
"SAOUHSC_00018",955.779790038531,0.347363123374585,0.471989304657745,0.735955497183287,0.461757781419527,0.999717718053886
"SAOUHSC_00019",100.425756424851,0.352470479597135,0.951954964961818,0.370259615812049,0.711189060822533,0.999717718053886
"SAOUHSC_T00018",2.87344052696027,-0.0138960887946414,1.91196410817417,-0.00726796530082954,0.994201053751327,0.999717718053886
"SAOUHSC_00020",484.407265352678,0.702334118901225,0.809238288178549,0.867895314842373,0.385451644036163,0.999717718053886
"SAOUHSC_00021",1813.51556525497,0.00458010152691357,0.560842965581406,0.00816645978997979,0.993484180241732,0.999717718053886
