"","fm_1","fm_2","fm_3","fm_4","m_1","m_2","m_3"
"SAOUHSC_00071",22.3103664441513,15.4813537943816,4.47889119496865,17.8408445448959,7.3376153263169,4.94927307147633,15.0727159274163
"SAOUHSC_00072",7.0453788771004,10.3209025295877,2.23944559748433,32.1135201808127,7.3376153263169,12.3731826786908,17.1280862811549
"SAOUHSC_00074",1.17422981285007,0,8.95778238993731,1.1893896363264,11.0064229894754,9.89854614295266,2.05537035373859
"SAOUHSC_00076",2.34845962570013,0,0,0,1.83440383157923,2.47463653573817,2.74049380498478
"SAOUHSC_00077",8.21960868995047,0,4.47889119496865,14.2726756359168,5.50321149473768,14.847819214429,15.0727159274163
"SAOUHSC_00078",11.7422981285007,0,44.7889119496865,16.6514549085695,7.3376153263169,0,12.3322221224315
"SAOUHSC_00079",0.587114906425034,0,22.3944559748433,26.1665719991807,0,9.89854614295266,26.3772528729785
"SAOUHSC_00080",21.1361366313012,10.3209025295877,49.2678031446552,14.2726756359168,14.6752306526338,12.3731826786908,23.6367590679937
"SAOUHSC_00081",34.0526645726519,5.16045126479387,11.1972279874216,9.51511709061117,40.356884294743,37.1195480360725,6.85123451246195
"SAOUHSC_00082",21.1361366313012,25.8022563239694,17.9155647798746,19.0302341812223,16.509634484213,17.3224557501672,6.85123451246195
"SAOUHSC_00083",2.34845962570013,0,6.71833679245298,0,0,0,2.74049380498478
"SAOUHSC_00086",10344.3775363027,3916.78250997855,7186.38092232721,26227.2308706334,11923.624905265,5558.03365926792,2559.27865213016
"SAOUHSC_00089",0,0,11.1972279874216,0,2.75160574736884,2.47463653573817,0
"SAOUHSC_00090",2.34845962570013,0,0,2.37877927265279,4.58600957894806,4.94927307147633,0
"SAOUHSC_00092",5.87114906425034,56.7649639127326,17.9155647798746,14.2726756359168,24.7644517263195,44.543457643287,14.045030750547
"SAOUHSC_00093",3.5226894385502,0,2.23944559748433,0,8.25481724210651,7.4239096072145,4.45330243310027
"SAOUHSC_00094",831.941822404273,175.455343002992,300.0857100629,235.499147992626,170.599556336868,49.4927307147633,0
"SAOUHSC_00096",78.6733974609545,103.209025295878,114.211725471701,35.6816890897919,51.3633072842183,40.8315028396797,44.8755860566258
"SAOUHSC_00097",16.4392173799009,28.3824819563663,22.3944559748433,16.6514549085695,0,4.94927307147633,19.8685800861397
"SAOUHSC_00099",27.0072856955515,10.3209025295877,127.648399056607,88.0148330881533,28.433259389478,22.2717288216435,35.9689811904252
"SAOUHSC_00100",78.0862825545295,30.9627075887633,181.395093396231,260.476330355481,81.6309705052755,56.9166403219778,160.31888759161
"SAOUHSC_00101",391.018527679072,593.451895451296,487.079417452841,820.678849065214,634.703725726412,299.431020824318,845.099777112181
"SAOUHSC_00102",20.5490217248762,10.3209025295877,0,4.75755854530559,12.8408268210546,4.94927307147633,33.9136108366867
"SAOUHSC_00103",14.0907577542008,15.4813537943816,20.1550103773589,13.0832859995904,23.8472498105299,7.4239096072145,50.3565736665953
"SAOUHSC_00104",11.7422981285007,5.16045126479387,0,0,12.8408268210546,2.47463653573817,18.1557714580242
"SAOUHSC_00105",3.5226894385502,0,8.95778238993731,4.75755854530559,0,2.47463653573817,15.0727159274163
"SAOUHSC_00106",10.5680683156506,41.283610118351,2.23944559748433,4.75755854530559,25.6816536421092,7.4239096072145,27.0623763242247
"SAOUHSC_00107",8.21960868995047,56.7649639127326,13.436673584906,45.1968061804031,65.1213360210625,32.1702749645961,44.5330243310027
"SAOUHSC_00108",15.8521024734759,5.16045126479387,15.6761191823903,4.75755854530559,4.58600957894806,2.47463653573817,4.11074070747717
"SAOUHSC_00113",36.4011241983521,15.4813537943816,108.61311147799,47.5755854530559,33.0192689684261,22.2717288216435,157.578393786625
"SAOUHSC_00114",30.5299751341017,30.9627075887633,10.0775051886795,34.4922994534655,20.1784421473715,0,14.3875924761701
"SAOUHSC_00115",287.099189241841,340.589783476396,256.416520911956,876.580161972554,472.358986631651,34.6449115003343,180.530029403372
"SAOUHSC_00116",39.9238136369023,141.912409781832,32.4719611635227,103.476898360396,92.6373934947509,16.0851374822981,39.3945984466562
"SAOUHSC_00117",216.058285564412,77.4067689719081,161.240083018872,237.877927265279,89.885787747382,12.3731826786908,46.5883946847413
"SAOUHSC_00118",75.1507080224043,54.1847382803357,17.9155647798746,78.4997159975422,92.6373934947509,4.94927307147633,86.6681165826437
"SAOUHSC_00119",157.933909828334,108.369476560671,245.219292924534,184.355393630591,131.159873957915,4.94927307147633,74.3358944602121
